sector,Abidjan,Addu,Agneby Tiassa,Algiers,Ampara,Anhui,Anuradhapura,Atolls,Badulla,Bafing,Bagoue,Barishal,Batticaloa,Beijing,Belier,Berat,Bere,Boukani,Cairo,Cape Town,Casablanca,Cavally ,Chittagong,Chongqing,Colombo,San Jose,Dhaka,Diber,Durres,Erongo,Esbalasan,Faadhippolhu,Felidhy,Folon,Fujian,Gaborone,Galle,Gampaha,Gansu,Gauteng,Gbeke,Gbokie,Gjirokaster,Gnaviyani,Goh,Gontougo,Grand Ponts,Guangdong,Guangxi,Guelmim,Guemon,Guizhou,Hadhumathi,Hainan,Hambantota,Hambol,Hanoi,Hardap,Haut Sassandra,Hebei,Heilonjiang,Henan,Hubei,Hunan,Iffou,Indenie Djuablin,Delhi,Inner Mangolia,Jaffna,Jakarta,Jiangsu,Jiangxi,Jilin,Kabadougou,Kalutara,Kandy,Kegalle,Keras,Khenifra,Khulna,Kilinochchi,Kolhumadulu,Korce,Kuala Lumpure,Kukes,Kunene,Kurunegala,Kyiv,La Me,Laayoun,Lezhe,Liaoning,Limpopo,Loh Djiboua,Lusaka,Male,Mannar,Marahoue,Marrakesh,Matale,Matara,Cuidad de Mexico,Queretaro,Nuevo Leon,Jalisco,Quintana Roo,Baja California Sur,Baja California ,Aguascalientes,Sonora,Sinaloa,Mexico,San Luis Potosi,Coahuila de Zaragoza,Campeche,Nayarit,Colima,Yucatan,Michoacan de Ocampo,Guanajuato,Durango,Zacatecas,Chihuahua,Morelos,Puebla,Tamaulipas,Hidalgo,Tabasco,Tlaxcala,Veracruz de Ignacio de la Llave,Guerrero,Oaxaca,Chiapas,Moneragala,Montenegro,Moronou,Mpumalang,Mulakatholhu,Mullaitivu,Yaren,Nawa,Ningxia,Nuwara,Nzi,Omaheke,Omusti,Oriental,Oshana,Oshikoto,Otozondjupa,Pago Pago,Polonnaruwa,Popo,Puttalam,Qinghai,Rajshahi,Rangpur,Rantnapura,Bucharest,San Pedro,Shaanxi,Shandong,Shanghai,Shanxi,Shkoder,Souss,Sichuan,Sud Comoe,Sylhet,Tafilalet,Tanger,Tblisi,Tchologo,Tianjin,Tibet,Tirane,Tonkpi,Trincomalee,Tunis,Vavunia,Vlore,Worodougou,Xinjiang,Yamoussouk,Yunnan,Zamnezi,Zheijiang,Byo,Manicaland,Mach. Central,Mash.,Mash. West,Mat. North,Mat. South,Mid-lands,Mavingo,Hre
Agriculture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.27157001414426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5450530531279827,0.0,0.0,141.3377765372413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.964601769911505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fishing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.7015558698727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2725265265639913,0.0,0.0,36.698193812043094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mining and Quarrying,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Food & Beverages,356.39421909157153,813.9322916666667,327.3014330823415,721.7057452351569,446.7331409078982,878.7377049180328,373.7518816583574,769.3359375,349.22454388611914,209.73402963322806,255.56027851995788,185.0157955198162,396.2698007084755,1312.688524590164,253.4713788357218,862.0219107459319,228.18395271637922,247.21277629341753,247.75106082036774,448.2291666666667,862.6190476190476,347.8989555501579,270.3862722573234,1034.1639344262296,578.7747379296773,87.36193372818953,219.72573233773693,606.0415659739004,963.4807475430965,766.7468944099379,690.1055260190108,895.5403645833334,881.1588541666667,264.6182495344506,1207.983606557377,15.415019762845851,397.554171411703,566.4903533849383,813.8032786885246,610.5625,291.326613229698,263.90575661889727,788.5290800708877,677.34375,272.79572504250666,290.9723908995223,383.7442312363371,1286.9180327868853,867.8196721311475,895.2702380952381,480.48740992632173,788.4590163934428,755.0065104166666,1091.032786885246,415.9703904487011,284.30896283701725,159.52947954676398,1164.2624223602484,292.61598251153754,695.2131147540985,742.9672131147541,764.360655737705,883.704918032787,917.377049180328,300.18014735648933,349.92308315116185,11.209461608997511,984.1311475409836,397.8649063237995,301.5104478502379,1097.672131147541,814.032786885246,734.1803278688525,371.0792648368553,431.25854519811077,403.9345937418001,344.89497159538183,801.195652173913,563.6785714285713,175.58443423319932,304.27156842036214,800.5208333333334,612.7960367327211,762.3853211009174,616.4636700499436,551.2189440993789,388.8950268302283,477.3776908023483,276.1800663913853,721.547619047619,886.7673594328984,953.5901639344262,264.7916666666667,318.5470812079993,333.1633835457705,1016.40625,475.4864726449751,320.2352036272367,722.6190476190476,378.08145394909474,372.7160988585673,704.8477130977132,612.1091897233202,577.2556497175142,543.8021582733813,499.2517211703959,476.7174092409241,454.6014263074485,418.234375,392.9904552129222,371.79355524079324,358.8502051983585,345.1517857142857,325.7765685019206,315.43796526054587,205.49518652226232,288.62792056074767,279.705164585698,265.721302428256,2430.274358974359,2427.746153846154,2346.992307692308,1837.9489795918369,1516.257627118644,1253.640579710145,1085.3341772151898,950.9393258426967,847.8838383838382,766.5311926605505,652.5487394957983,582.7651162790697,538.7741007194245,1782.6076923076923,331.9891173576489,1764.0,310.8270585377702,362.46875,978.4505208333334,347.04939996064024,10701.35922330097,304.66561412031416,786.1147540983608,125.07830177718402,263.8328880252611,761.1024844720497,714.0760869565216,718.047619047619,1061.4130434782608,803.8043478260869,746.8167701863354,1689.0,363.04188703752294,289.3591612015221,459.43183855943323,857.1311475409836,174.64101091326825,156.59103963239517,339.6124791393335,17032.579999999998,400.8359646992146,786.9180327868853,884.9344262295083,1547.3114754098362,623.6065573770492,909.494925084582,669.0119047619047,1017.016393442623,349.2328556392195,226.5077541642734,643.3333333333333,819.0214285714285,236.283185840708,249.15391466278032,1322.8688524590166,1010.9180327868854,1113.7207990977927,375.8946643996437,229623.6103384938,656.6433566433567,425.748180464445,813.5250523602384,260.95255444903245,906.5081967213115,351.32377945105657,817.6065573770492,401.00931677018633,1263.1147540983607,4.004697430229346,1.2466244144392395,1.3173948887056883,1.4798574952041657,2.01448483192129,1.1022076860179886,1.401739603153031,1.7045269720791543,1.507704785077048,3.908331086546239
Textiles and Wearing Apparel,45.330337624483846,116.27604166666667,44.229212209537685,147.52502399561223,19.783452335345054,218.6393442622951,28.40116559958016,137.36979166666669,22.870085207294675,0.0,34.533641000728686,17.929350947731187,12.822991616373656,424.16393442622956,34.252287264189135,85.13774770420493,40.5635171241195,33.40620192696947,78.9108910891089,155.83333333333334,85.47619047619047,47.012387660918144,26.201895462377944,307.88524590163934,93.67620047231698,22.016567952617258,21.29236071223435,59.85178024810698,87.22812953117447,175.916149068323,68.15691960689544,119.40104166666667,160.15625,35.758238199336084,239.5081967213115,8.646245059288539,32.04712121490422,40.25052134610338,271.1803278688525,212.1875,39.36725771192616,35.66108007448789,77.87900757209601,161.26302083333334,36.86341186948425,39.320702777103065,51.856125010120635,220.4426229508197,130.26229508196724,67.48452380952381,64.92996518500526,204.24590163934428,116.14583333333334,136.04918032786887,34.53300003935975,38.4199659946563,13.257153831380833,205.45807453416148,39.5413326856125,233.5081967213115,297.2786885245902,298.9180327868853,239.98360655737707,236.40983606557376,40.5635171241195,47.28564488705368,1.871362539064693,392.55737704918033,22.870085207294675,16.965851392727092,287.3770491803279,228.6393442622951,295.1803278688525,50.14573718727228,40.7684127656783,32.751453548937285,28.85691004985568,81.38975155279502,55.857142857142854,16.985927627800116,12.572332170034112,133.3984375,60.52279684227485,129.3577981651376,60.85468019977445,43.63354037267081,34.67800963657833,52.4853228962818,37.320864707311145,71.54761904761905,87.5785403576607,325.77049180327873,91.97916666666667,43.04712169055137,30.938586326767087,203.28125,22.372909446339545,43.27382398186381,71.60714285714286,27.676117606927317,27.51039235764891,97.22037422037423,84.42885375494072,79.62146892655369,75.00719424460432,68.86230636833047,65.75412541254126,62.70364500792394,57.68750000000001,54.205580029368576,51.28186968838527,49.496580027359784,47.60714285714286,44.93469910371319,43.50868486352357,28.34416365824308,39.810747663551396,38.58002270147559,36.65121412803532,335.2102564102564,334.8615384615385,323.7230769230769,253.51020408163265,209.13898305084746,172.91594202898548,149.70126582278482,131.16404494382022,116.94949494949493,105.72844036697248,90.00672268907562,80.38139534883722,74.3136690647482,245.87692307692308,18.25049372212018,672.0,42.00267184843332,125.9375,102.99479166666667,14.832410338493833,261.94174757281553,41.170755404420696,283.44262295081967,7.088707924459557,35.652983564083875,70.03105590062111,35.97826086956521,71.15476190476191,95.2639751552795,50.15527950310559,71.95652173913042,400.0,28.504743886119126,38.899684236094245,30.86632877197586,287.5737704918033,16.92418150488225,15.163699023549684,20.81923518105484,2110.56,54.16565460286616,241.04918032786887,295.29508196721315,278.75409836065575,264.91803278688525,89.82600289995166,66.29761904761904,252.36065573770495,47.192535017407494,21.951464675473865,63.75,81.16428571428571,29.42477876106195,33.66933851509999,336.19672131147547,271.5081967213115,109.99677783148059,50.795482147194555,19.244845257150352,185.31468531468533,29.27122318945159,80.33671661027871,35.262326937090116,313.5081967213115,47.47591288154805,174.85245901639342,9.627329192546583,327.49180327868856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wood and Paper,0.0,0.0,0.0,25.373645961881255,4.495297545919707,75.64754098360656,6.442569294148518,0.0,5.199629879952768,0.0,0.0,18.437679494543367,2.900191965363422,180.8688524590164,0.0,45.67101659416788,0.0,0.0,5.926449787835926,56.66666666666667,0.0,0.0,26.950028719126937,105.95081967213115,13.38231435318814,9.338482471586362,21.90120620333142,20.782986950217495,31.719026905107135,101.20341614906832,23.663605606573224,0.0,0.0,0.0,106.72131147540985,0.0,7.271195572028339,9.135604690369982,89.3032786885246,74.375,0.0,0.0,27.038827130658934,0.0,0.0,0.0,0.0,111.89344262295081,74.13934426229508,0.0,0.0,89.38524590163935,0.0,78.50000000000001,7.85123396090265,0.0,13.015171884002305,125.54347826086956,0.0,88.65573770491802,89.56557377049181,113.87704918032787,83.99180327868854,90.04918032786885,0.0,0.0,0.0,117.75409836065573,5.17891422330097,40.08804021042718,109.44262295081968,81.24590163934427,79.63934426229508,0.0,9.259898628968774,7.436920827866702,6.546147578063501,124.61180124223601,0.0,17.48994830557151,2.838044994096038,0.0,21.013371999355567,136.3914373088685,21.128564523924602,31.05590062111801,7.871949619522435,19.060665362035223,0.0,0.0,30.409215401965522,101.21311475409836,33.4375,0.0,11.263035921205098,0.0,5.0753359387299914,0.0,0.0,6.291344998688008,6.256128381658357,145.83056133056135,126.64328063241109,119.4322033898305,112.51079136690647,103.2934595524957,98.63118811881189,94.05546751188591,86.53125,81.30837004405288,76.92280453257791,74.24487004103968,71.41071428571429,67.40204865556979,65.26302729528535,42.51624548736462,59.7161214953271,57.87003405221339,54.976821192052974,502.81538461538463,502.2923076923077,485.5846153846154,380.2653061224489,313.70847457627116,259.37391304347824,224.5518987341772,196.74606741573032,175.42424242424244,158.59266055045873,135.01008403361342,120.57209302325582,111.4705035971223,368.81538461538463,4.143131378903175,120.0,0.0,45.833333333333336,0.0,3.355936416950932,220.3883495145631,0.0,89.74590163934427,1.6107794383045908,0.0,0.0,23.05124223602484,0.0,43.20652173913043,28.532608695652172,53.45496894409938,0.0,6.463284950800315,0.0,7.018464556546839,82.68032786885247,17.40379092475589,15.5944859276278,4.7231697717134615,0.0,0.0,96.39344262295083,117.2704918032787,133.55737704918033,72.77868852459017,31.190591267923313,0.0,99.22950819672131,0.0,22.57754164273406,0.0,0.0,0.0,0.0,113.69672131147541,73.04098360655739,38.19316900273884,0.0,4.371003604696931,48.25174825174825,6.6497258659144585,27.89592395682294,0.0,89.14754098360656,0.0,75.12295081967214,52.17391304347826,109.31967213114756,1.46838905775076,0.45709561862772113,0.4830447925254191,0.5426144149081941,0.7386444383711397,0.4041428182065958,0.513971187822778,0.6249932230956899,0.5528250878615842,1.4330547317336209
"Petroleum, Chemical and Non-Metallic Mineral Products",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Metal Products,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1216407355021216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
